name,description,category,subcategory,subsubcategory,combatscore,runescore
"Did You Say Something?","Defeat Osseous solo without being stunned by her 'Roar' attack.","Combat","Rex Matriarchs","N/A","2","10"
"Diddyzag","Unlock the Diddyzag pet from Beastmaster Durzag in the Liberation of Mazcab.","Combat","Boss Pets","N/A","N/A","0"
"Die! Die! Die!","Harness the power of the infernal d% dice.","Skills","Archaeology","Zamorakian","N/A","25"
"Died by the Blade!","Die by the blade!","Combat","Temple of Aminishi","N/A","N/A","20"
"Digging For Treasure","Dig and retrieve a clue box using a fetch casket scroll and a meerkat familiar.","Activities","Treasure Trails","N/A","N/A","5"
"Dimension of Disaster","Complete this Special quest.","Lore","Quests","N/A","N/A","0"
"Dimension of Disaster: Coin of the Realm","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Dimension of Disaster: Curse of Arrav","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Dimension of Disaster: Defender of Varrock","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Dimension of Disaster: Demon Slayer","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Dimension of Disaster: Shield of Arrav","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Dinosaur Hunter","Take down each dinosaur in Big Game Hunter.","Exploration","Anachronia","N/A","N/A","10"
"Disarm and Embark","Take the boat to Entrana.","Area Tasks","Easy Falador","N/A","N/A","5"
"Disco Impling","Do a dance in the impling collector's house with at least ten other implings present.","Area Tasks","Hard Tirannwn","N/A","N/A","15"
"Dishonour among Thieves","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Dishonourable Gains","Claim all XP chests during or after 'Dishonour among Thieves'.","Lore","Post-Quest","Experience","N/A","15"
"Dishonourable Loot","Claim all loot chests after 'Dishonour among Thieves'.","Lore","Post-Quest","N/A","N/A","15"
"Dislike-Anthrope","Kill a werewolf in its human form using the wolfbane dagger whilst in Canifis.","Area Tasks","Easy Morytania","N/A","N/A","5"
"Disowned","Defeat Vanstrom Klause in the Dominion Tower whilst wielding a reforged Sunspear and full set of House Drakan robes.","Activities","Minigames","N/A","N/A","40"
"Distorted Div","Claim the one-time Divination XP from a distorted engrammeter.","Lore","Post-Quest","Experience","N/A","10"
"Divination - Willow","Unlock the Divination pet.","Skills","Skilling Pets","N/A","N/A","0"
"Divination 5","Reach level 5 in the Divination skill.","Skills","Divination","N/A","N/A","5"
"Divination 10","Reach level 10 in the Divination skill.","Skills","Divination","N/A","N/A","5"
"Divination 20","Reach level 20 in the Divination skill.","Skills","Divination","N/A","N/A","5"
"Divination 30","Reach level 30 in the Divination skill.","Skills","Divination","N/A","N/A","5"
"Divination 40","Reach level 40 in the Divination skill.","Skills","Divination","N/A","N/A","5"
"Divination 50","Reach level 50 in the Divination skill.","Skills","Divination","N/A","N/A","5"
"Divination 60","Reach level 60 in the Divination skill.","Skills","Divination","N/A","N/A","5"
"Divination 70","Reach level 70 in the Divination skill.","Skills","Divination","N/A","N/A","5"
"Divination 80","Reach level 80 in the Divination skill.","Skills","Divination","N/A","N/A","5"
"Divination 90","Reach level 90 in the Divination skill.","Skills","Divination","N/A","N/A","5"
"Divination 92 (Halfway There)","Reach level 92 in the Divination skill.","Skills","Divination","N/A","N/A","5"
"Divination 99","Reach level 99 in the Divination skill.","Skills","Divination","N/A","N/A","5"
"Divination 110","Reach virtual level 110 in the Divination skill.","Skills","Divination","N/A","N/A","0"
"Divination 120","Reach virtual level 120 in the Divination skill.","Skills","Divination","N/A","N/A","0"
"Divine Retribution","Complete the 10 Divination achievements and claim your reward.","Skills","Divination","N/A","N/A","10"
"Diving For Clues","Find an elite clue scroll in your player-owned house aquarium.","Activities","Treasure Trails","N/A","N/A","5"
"Do a Minion, Take Notes","Complete the Dominion journal.","Lore","Books","N/A","N/A","25"
"Do No Elite","Claim the elite clue scroll using Ava's alerter from 'Do No Evil'.","Lore","Post-Quest","N/A","N/A","10"
"Do No Evil","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Do Not Return To Sender","Defeat Nex, Angel of Death in a team of 7 or fewer without letting any reavers be absorbed.","Combat","Nex, Angel of Death","N/A","5","40"
"Do They Come in Other Colours?","Smith some blurite crossbow limbs on Thurgo's anvil.","Area Tasks","Medium Falador","N/A","N/A","10"
"Do You Like Jazz?","Rest whilst listening to the Dead Beats in the City of Um.","Area Tasks","Hard Underworld","N/A","N/A","15"
"Do You Think He Saw Us?","Get caught by each of the big game creatures once.","Exploration","Anachronia","N/A","N/A","5"
"Docking Out","Enter Al Kharid via its west gate.","Area Tasks","Beginner Lumbridge","N/A","N/A","5"
"Dog and Bone","Give a bone to one of Varrock's stray dogs (or to your pet stray dog if you have one).","Area Tasks","Easy Varrock","N/A","N/A","5"
"Doing the Ironing","Mine some iron ore in the mining spot south-west of Varrock.","Area Tasks","Easy Varrock","N/A","N/A","5"
"Don't Crush My Memories","Unlock the memory-crushing scrimshaw scroll from the Waiko ports reward shop.","Exploration","The Arc","N/A","N/A","10"
"Don't Eat the Pointy Bit","Buy a skewered kebab from the Poison Arrow pub.","Area Tasks","Easy Ardougne","N/A","N/A","5"
"Don't Fear the Ripper","Find and read all five miner's journals and the diary of Jebediah Omnis.","Lore","Books","N/A","N/A","25"
"Don't Go Ballistic","Defeat Zemouregal & Vorkath in hard mode without using the ballista.","Combat","Zemouregal & Vorkath","N/A","5","40"
"Don't Go Wandering Down Dark Alleys Alone","Defeat every miniboss inside the Zamorakian Undercity.","Combat","Zamorak","N/A","N/A","20"
"Don't Let Him Sweep the Leg","Defeat Raksha, the Shadow Colossus without letting him use his 'Tail Sweep' attack in phase 4.","Combat","Raksha","N/A","5","40"
"Don't Let Your Prayers Expire","Defeat Verak Lith after using the correct protection prayer against all of his 'Spire' attacks.","Combat","Dragonkin Laboratory","Verak Lith","3","15"
"Don't Lose Your Focus","Deposit a ritual focus object into the focus storage at the City of Um ritual site.","Area Tasks","Easy Underworld","N/A","N/A","5"
"Don't Need No Help","Defeat Zemouregal & Vorkath without triggering the optional rituals.","Combat","Zemouregal & Vorkath","N/A","3","15"
"Don't Stop Me If I Start To Ramble","Complete a Burgh de Rott Ramble.","Area Tasks","Medium Morytania","N/A","N/A","10"
"Don't You Dare Close Your Eyes","Use any of the magic carpets in the desert.","Area Tasks","Easy Desert","N/A","N/A","5"
"Don't Axe for Permission","Loot a chest in the magic axe hut in the deep Wilderness.","Area Tasks","Medium Wilderness","N/A","N/A","10"
"Don't Choke","Eat food and then drink a Saradomin brew less than a second apart.","Activities","Eating","N/A","N/A","10"
"Don't touch that!","Defeat Nex, Angel of Death in a team of 7 or fewer without anyone activating the 'Unstable Smoke' crystal.","Combat","Nex, Angel of Death","N/A","5","40"
"Doom!","Speak with the Doomsayer about the Warning System.","Area Tasks","Beginner Lumbridge","N/A","N/A","5"
"Doric's Task I (miniquest)","Complete this miniquest.","Lore","Miniquests","Doric's","N/A","0"
"Doric's Task II (miniquest)","Complete this miniquest.","Lore","Miniquests","Doric's","N/A","0"
"Doric's Task III (miniquest)","Complete this miniquest.","Lore","Miniquests","Doric's","N/A","0"
"Doric's Task IV (miniquest)","Complete this miniquest.","Lore","Miniquests","Doric's","N/A","0"
"Doric's Task V (miniquest)","Complete this miniquest.","Lore","Miniquests","Doric's","N/A","0"
"Doric's Task VI (miniquest)","Complete this miniquest.","Lore","Miniquests","Doric's","N/A","0"
"Doric's Task VII (miniquest)","Complete this miniquest.","Lore","Miniquests","Doric's","N/A","0"
"Doric's Task VIII (miniquest)","Complete this miniquest.","Lore","Miniquests","Doric's","N/A","0"
"Double Swoop","Defeat Kree'arra solo after defeating all of his lieutenants twice.","Combat","God Wars Dungeon","Kree'arra","2","10"
"Double-strength Weaksauce","Have the apothecary in Varrock make you a strength potion.","Area Tasks","Medium Varrock","N/A","N/A","10"
"Down with the Disturbances","Dispel 6 ritual disturbances within a single ritual.","Area Tasks","Elite Underworld","N/A","N/A","25"
"Doyouthinkhesaurus","Catch a Black Salamander near the Boneyard.","Area Tasks","Medium Wilderness","N/A","N/A","10"
"Draaaaaiiiiiins...","Defeat a zombie in the sewers under the jailhouse.","Area Tasks","Easy Lumbridge","N/A","N/A","5"
"Draconic Decoctions","Discover all of the listed potion recipes.","Skills","Herblore","N/A","N/A","20"
"Drafty in Here","Kill a dust devil in the Smoke Dungeon.","Area Tasks","Hard Desert","N/A","N/A","15"
"Dragon Ink","Collect the following lore books from bosses inside the Dragonkin Laboratory.","Lore","Books","N/A","N/A","20"
"Dragon Slayer","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Dragonhide Infanticide","Defeat Verak Lith while ensuring every ricocheted attack is absorbed and dispersed into a pile of eggs.","Combat","Dragonkin Laboratory","Verak Lith","3","15"
"Dragonkin Diary","Find and return Naressa's journal to her.","Exploration","Senntisten","N/A","N/A","25"
"Dragonkin Expert","Restored at least one of each dragonkin artefact.","Skills","Archaeology","Dragonkin","N/A","0"
"Dragonkin Laboratory","Complete all of the listed achievements.","Combat","Dragonkin Laboratory","N/A","N/A","50"
"Dragonkin Logs","Find and read the adamant dragon journals.","Lore","Books","N/A","N/A","20"
"Dragonkin Swag","Obtained a collection of unique drops from the Dragonkin Laboratory elite dungeon.","Feats","Boss Logs","N/A","N/A","0"
"Dragonstone Dragonstone Dragonstone","Kill a dragonstone dragon, while wearing the dragonstone armour and dragonstone jewellery, using dragonstone bolts, with an inventory full of dragonstones.","Activities","Just for Fun","N/A","N/A","20"
"Dragonsworn","Successfully breed a dragon with the Ravensworn trait.","Feats","Player Owned Farm","N/A","N/A","0"
"Draught Includer","Discover all invention blueprints.","Skills","Invention","N/A","N/A","0"
"Draugr Me to Hela","Free the remaining spirits around above-ground Daemonheim after 'Remains of the Necrolord'.","Lore","Post-Quest","N/A","N/A","5"
"Draynor","Activate the lodestone in Draynor.","Exploration","Free to Play Lodestones","N/A","N/A","5"
"Dream Mentor","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Dream Team","Start a research contract with a full team of consultants.","Skills","Archaeology","N/A","N/A","50"
"Dress to Impress","Wear rockshell, spined or skeletal armour and have the locals use an honorific with your Fremennik name.","Area Tasks","Hard Fremennik","N/A","N/A","15"
"Dress to Kili I","Upgrade a set of Death Skull and Deathwarden equipment to tier 20.","Skills","Necromancy","N/A","N/A","10"
"Dress to Kili II","Upgrade a set of Death Skull and Deathwarden equipment to tier 30.","Skills","Necromancy","N/A","N/A","10"
"Dress to Kili III","Upgrade a set of Death Skull and Deathwarden equipment to tier 40.","Skills","Necromancy","N/A","N/A","10"
"Dress to Kili IV","Upgrade a set of Death Skull and Deathwarden equipment to tier 50.","Skills","Necromancy","N/A","N/A","10"
"Dress to Kili V","Upgrade a set of Death Skull and Deathwarden equipment to tier 60.","Skills","Necromancy","N/A","N/A","10"
"Drink Me","Boost your Magic level with a self-made tier 2+ potion (from seed).","Area Tasks","Medium Daemonheim","N/A","N/A","10"
"Driven, Underground","Navigate the Underground Pass, using the thieving shortcuts and talking to Klank on the way through about his gloves. (X/2)","Area Tasks","Easy Tirannwn","N/A","N/A","5"
"Drop It Like It's Hot","Cook a karambwan thoroughly.","Area Tasks","Hard Karamja","N/A","N/A","15"
"Druidic Ritual","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Dry as a Bone","Defeat Vorago without anyone hiding behind a waterfall during stage 4.","Combat","Vorago","N/A","4","25"
"Dry-ish","Defeat Araxxor and Araxxi while at least 40% (Duo: 80%) of the total acid remains in the pool after taking the Acid path during phase 2.","Combat","Araxxi","N/A","3","15"
"Duck Quest","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Dude, Where's My Star?","Find a lost star sprite on Zolarea.","Exploration","Zolarea","N/A","N/A","5"
"Dukes of Khazard","Kill something on the Khazard Battlefield.","Area Tasks","Easy Ardougne","N/A","N/A","5"
"Dungeon Mage","Fully upgrade the magic roles on your ring of kinship.","Skills","Dungeoneering","N/A","N/A","20"
"Dungeon Ranger","Fully upgrade the ranged roles on your ring of kinship.","Skills","Dungeoneering","N/A","N/A","20"
"Dungeon Skiller","Fully upgrade the skiller roles on your ring of kinship.","Skills","Dungeoneering","N/A","N/A","20"
"Dungeon Warrior","Fully upgrade the melee roles on your ring of kinship.","Skills","Dungeoneering","N/A","N/A","20"
"Dungeoneer Ring","Fully upgrade your ring of kinship.","Skills","Dungeoneering","N/A","N/A","20"
"Dungeoneering - Gordie","Unlock the Dungeoneering pet.","Skills","Skilling Pets","N/A","N/A","0"
"Dungeoneering 5","Reach level 5 in the Dungeoneering skill.","Skills","Dungeoneering","N/A","N/A","5"
"Dungeoneering 10","Reach level 10 in the Dungeoneering skill.","Skills","Dungeoneering","N/A","N/A","5"
"Dungeoneering 20","Reach level 20 in the Dungeoneering skill.","Skills","Dungeoneering","N/A","N/A","5"
"Dungeoneering 30","Reach level 30 in the Dungeoneering skill.","Skills","Dungeoneering","N/A","N/A","5"
"Dungeoneering 40","Reach level 40 in the Dungeoneering skill.","Skills","Dungeoneering","N/A","N/A","5"
"Dungeoneering 50","Reach level 50 in the Dungeoneering skill.","Skills","Dungeoneering","N/A","N/A","5"
"Dungeoneering 60","Reach level 60 in the Dungeoneering skill.","Skills","Dungeoneering","N/A","N/A","5"
"Dungeoneering 70","Reach level 70 in the Dungeoneering skill.","Skills","Dungeoneering","N/A","N/A","5"
"Dungeoneering 80","Reach level 80 in the Dungeoneering skill.","Skills","Dungeoneering","N/A","N/A","5"
"Dungeoneering 90","Reach level 90 in the Dungeoneering skill.","Skills","Dungeoneering","N/A","N/A","5"
"Dungeoneering 92 (Halfway There)","Reach level 92 in the Dungeoneering skill.","Skills","Dungeoneering","N/A","N/A","5"
"Dungeoneering 99","Reach level 99 in the Dungeoneering skill.","Skills","Dungeoneering","N/A","N/A","5"
"Dungeoneering 110","Reach level 110 in the Dungeoneering skill.","Skills","Dungeoneering","N/A","N/A","5"
"Dungeoneering 113 (Halfway There)","Reach level 113 in the Dungeoneering skill.","Skills","Dungeoneering","N/A","N/A","5"
"Dungeoneering 120","Reach level 120 in the Dungeoneering skill.","Skills","Dungeoneering","N/A","N/A","5"
"Dungeons and Dragons","Visit the isle of Crandor via the dungeon below the volcano.","Area Tasks","Medium Karamja","N/A","N/A","10"
"Dusting Murial","Update the Dragonkin Primer with murals in Brimhaven Dungeon and Mount Firewake.","Lore","Books","N/A","N/A","25"
"Dwarf Cannon","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Dying to Get In","Teleport to the City of Um using the City of Um Teleport incantation.","Area Tasks","Medium Underworld","N/A","N/A","10"
"E-I-E-DI-NO","Complete the Ranch Out of Time breeding log.","Skills","Farming","Anachronia (Farming)","N/A","0"
"E-I-E-I-O","Complete the breeding log.","Skills","Farming","Manor Farm","N/A","0"
"Eadgar's Ruse","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Eagles' Peak","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Eagles' Peak","Activate the lodestone at Eagles' Peak.","Exploration","Members' Lodestones","N/A","N/A","5"
"Ease of Access","Cast the Lumbridge Teleport spell (not the Home Teleport spell).","Area Tasks","Medium Lumbridge","N/A","N/A","10"
"Eastern Adventurer: Eastern Curiosities","Complete story voyages of the Architect, Chef and Trapper.","Activities","Player-Owned Port","N/A","N/A","5"
"Eastern Adventurer: Guardians of the World","Complete story voyages of the Tengu, Memory and Exile.","Activities","Player-Owned Port","N/A","N/A","15"
"Eastern Adventurer: Hyu-Ji","Complete story voyages of the Biologist, Missionary and Convict.","Activities","Player-Owned Port","N/A","N/A","5"
"Eastern Adventurer: Quin","Complete story voyages of the Whaler, Occultist and Assassin.","Activities","Player-Owned Port","N/A","N/A","5"
"Eastern Explorer","Explore the Eastern Lands as far as the Shield from your port. Distance travelled: (X/4,100,000)","Activities","Player-Owned Port","N/A","N/A","40"
"Easy As Pie","Bake a pie using Magic.","Area Tasks","Hard Fremennik","N/A","N/A","15"
"Eblis: Entertaining the Masses","Contribute all items to the collection.","Skills","Archaeology","Collections","N/A","10"
"Eblis: Finery of the Inquisition","Contribute all items to the collection.","Skills","Archaeology","Collections","N/A","10"
"Eblis: Imperial Sorcery","Contribute all items to the collection.","Skills","Archaeology","Collections","N/A","10"
"Eblis: Religious Iconography","Contribute all items to the collection.","Skills","Archaeology","Collections","N/A","10"
"Eblis: Urns of the Empire","Contribute all items to the collection.","Skills","Archaeology","Collections","N/A","10"
"Ebony and Irony","Heal yourself using Resonance against Alanogard the Black while wielding a black dragonhide shield.","Combat","Dragonkin Laboratory","N/A","N/A","10"
"Eclipse of the Heart","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Edgeville","Activate the lodestone in Edgeville.","Exploration","Free to Play Lodestones","N/A","N/A","5"
"Edie","Unlock the Elidinis pet from the Gate of Elidinis.","Combat","Boss Pets","N/A","N/A","0"
"EEEEAGLE!","Fully unlock all eagle transport routes.","Lore","Post-Quest","N/A","N/A","15"
"Effigy Scavenger","Hand in a total of 1,000 effigy materials to Vicendithas. (X/1,000)","Activities","Distractions & Diversions","Effigy Incubator","N/A","10"
"Egg McGuffin","Help Ben the ancient zygomite near the mystical tree south of the Anachronia dinosaur farm.","Activities","'Accidental' Skilling Station","N/A","N/A","5"
"Eipy Rreb Dere Voli","Cook Thalmund's favourite dish within Thalmund's forge.","Skills","Archaeology","Bandosian","N/A","25"
"Elder Souls","Defeat the Emberbound Soul while having the chronicle attraction curse active.","Combat","Dragonkin Laboratory","N/A","N/A","10"
"Elder Wisdom","Earn the Wisdom of Anima fletching perk for all the Elder God arrow types.","Exploration","Fort Forinthry","N/A","N/A","20"
"eLeMeNtAl kIlL cHaOs I","Defeat the Chaos Elemental. (X/5)","Combat","Chaos Elemental","N/A","N/A","5"
"eLeMeNtAl kIlL cHaOs II","Defeat the Chaos Elemental. (X/10)","Combat","Chaos Elemental","N/A","N/A","5"
"eLeMeNtAl kIlL cHaOs III","Defeat the Chaos Elemental. (X/25)","Combat","Chaos Elemental","N/A","1","5"
"eLeMeNtAl kIlL cHaOs IV","Defeat the Chaos Elemental. (X/50)","Combat","Chaos Elemental","N/A","N/A","5"
"eLeMeNtAl kIlL cHaOs V","Defeat the Chaos Elemental. (X/75)","Combat","Chaos Elemental","N/A","N/A","5"
"eLeMeNtAl kIlL cHaOs VI","Defeat the Chaos Elemental. (X/100)","Combat","Chaos Elemental","N/A","N/A","5"
"Elemental Workshop I","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Elemental Workshop II","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Elemental Workshop III","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Elemental Workshop IV","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Elementary Medicine","Heal an elemental wizard by casting an appropriate elemental spell on him.","Area Tasks","Easy Falador","N/A","N/A","5"
"Elite Dungeons and Dragons","Defeat every miniboss inside the Dragonkin Laboratory.","Combat","Dragonkin Laboratory","N/A","N/A","20"
"Ellie","Unlock the Ellie pet.","Combat","Boss Pets","N/A","N/A","0"
"Elven Titles","Obtain the titles of the elven clans.","Exploration","Prifddinas","N/A","N/A","25"
"Embrace the Chaos","Solve this mystery.","Skills","Archaeology","Zamorakian","N/A","5"
"Empty Children","Solve this mystery.","Skills","Archaeology","Zarosian","N/A","15"
"Enakhra's Lament","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Enaqua","Fill a waterskin from the fountain in Enakhra's Temple.","Area Tasks","Hard Desert","N/A","N/A","15"
"End Of The World","Use Meteor Strike on all dinosaurs.","Exploration","Anachronia","N/A","N/A","10"
"Endangered Species","Kill an adult black unicorn.","Area Tasks","Easy Fremennik","N/A","N/A","5"
"Energy Aficionado","Siphon all of the different types of energy nodes in the Runespan.","Skills","Runecrafting","N/A","N/A","20"
"Energy Generator","Convert a memory, or an enriched memory, into energy.","Skills","Divination","N/A","N/A","5"
"Engage","Use the hot-air balloon to travel from Varrock to somewhere else.","Area Tasks","Medium Varrock","N/A","N/A","10"
"Enlightened Journey","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Enough of the Crazy Walking","Purchase the Mad Ramblings.","Lore","Books","N/A","N/A","20"
"Enrichment Programme","Gather an enriched memory of any type.","Skills","Divination","N/A","N/A","5"
"Enter the Abyss (miniquest)","Complete this miniquest.","Lore","Miniquests","N/A","N/A","10"
"Epi Logueque Experience","Watch the 'While Guthix Sleeps' epilogue and claim the XP reward.","Lore","Post-Quest","Experience","N/A","15"
"Epic Epic","Complete all Sagas with 100%.","Area Tasks","Hard Daemonheim","N/A","N/A","15"
"Ernest the Chicken","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Essential Facilitator","Have Aubury teleport you to the Rune Essence mine.","Area Tasks","Easy Varrock","N/A","N/A","5"
"Eternal No More I","Defeat Nakatra, Devourer Eternal. (X/5)","Combat","Sanctum of Rebirth","Nakatra","N/A","5"
"Eternal No More II","Defeat Nakatra, Devourer Eternal. (X/10)","Combat","Sanctum of Rebirth","Nakatra","3","15"
"Eternal No More III","Defeat Nakatra, Devourer Eternal. (X/25)","Combat","Sanctum of Rebirth","Nakatra","N/A","5"
"Eternal No More IV","Defeat Nakatra, Devourer Eternal. (X/50)","Combat","Sanctum of Rebirth","Nakatra","N/A","5"
"Eternal No More V","Defeat Nakatra, Devourer Eternal. (X/75)","Combat","Sanctum of Rebirth","Nakatra","N/A","5"
"Eternal No More VI","Defeat Nakatra, Devourer Eternal. (X/100)","Combat","Sanctum of Rebirth","Nakatra","N/A","5"
"Ever So Clever","Hand in a magical zygomite called Trevor with the Loyal trait to Granny P.","Skills","Farming","Manor Farm","N/A","20"
"Everybody Loves Coal!","Mine some coal in the mining spot south-west of Lumbridge Swamp.","Area Tasks","Medium Lumbridge","N/A","N/A","10"
"Everything Is Oresome","Increase the capacity of your ore box by mining 100 of each of the listed ores.","Skills","Mining","N/A","N/A","20"
"Everything Is Still Oresome","Increase the capacity of your ore box by mining 100 of each of the listed ores. (X/10)","Skills","Mining","N/A","N/A","20"
"Everything Is Still Treemendous","Increase the capacity of your wood box by cutting eternal magic logs. (X/100)","Skills","Woodcutting","N/A","N/A","20"
"Everything Is Treemendous","Increase the capacity of your wood box by cutting 100 of each of the listed logs. (X/10)","Skills","Woodcutting","N/A","N/A","20"
"Evil Dave's Big Day Out","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Ex-Ex-Dragon I","Defeat Zemouregal & Vorkath in hard mode. (X/5)","Combat","Zemouregal & Vorkath","N/A","N/A","5"
"Ex-Ex-Dragon II","Defeat Zemouregal & Vorkath in hard mode. (X/10)","Combat","Zemouregal & Vorkath","N/A","N/A","5"
"Ex-Ex-Dragon III","Defeat Zemouregal & Vorkath in hard mode. (X/25)","Combat","Zemouregal & Vorkath","N/A","4","25"
"Ex-Ex-Dragon IV","Defeat Zemouregal & Vorkath in hard mode. (X/50)","Combat","Zemouregal & Vorkath","N/A","N/A","5"
"Ex-Ex-Dragon V","Defeat Zemouregal & Vorkath in hard mode. (X/75)","Combat","Zemouregal & Vorkath","N/A","N/A","5"
"Ex-Ex-Dragon VI","Defeat Zemouregal & Vorkath in hard mode. (X/100)","Combat","Zemouregal & Vorkath","N/A","N/A","5"
"Ex-posing Yourself","Find out about the history of the Wilderness from Vala.","Area Tasks","Easy Wilderness","N/A","N/A","5"
"Excuse Me, That's My Seat","Complete a hardmode flawless run by defeating TzKal-Zuk in a single attempt after completing all of his challenges.","Combat","TzKal-Zuk","N/A","5","40"
"Exiled","Obtained a collection of unique drops from the Kalphite King.","Feats","Boss Logs","N/A","N/A","0"
"Experience the Fate of the Gods","Claim and use the 'Fate of the Gods' XP lamps from Azzanadra and Wahisietel.","Lore","Post-Quest","Experience","N/A","20"
"Expert Provisions Officer","Gather a total of 10,000 resources from Archaeology, Fishing, Mining or Woodcutting. (X/10,000)","Skills","Gathering","N/A","N/A","5"
"Explore for Nestor","Find and read the explorer's notes in the Keldagrim library.","Lore","Books","N/A","N/A","10"
"Extinction","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Extinction Event","Defeat the Rex Matriarchs, Pthentraken, Orikalka, and Rathis, all within 5 seconds of each other. Can only be completed in a solo instance.","Combat","Rex Matriarchs","N/A","3","15"
"Extra Cheese","Exchange pizazz points at the Mage Training Arena.","Area Tasks","Easy Desert","N/A","N/A","5"
"Eye for an Eye (miniquest)","Complete this miniquest.","Lore","Miniquests","The Arc (Miniquests)","N/A","10"
"Eye of Het I","Complete this quest.","Lore","Quests","N/A","N/A","10"
"Eye of Het II","Complete this quest.","Lore","Quests","N/A","N/A","10"
"Eye on the Prize","Discover what the Wise Old Man is watching through his telescope.","Area Tasks","Easy Lumbridge","N/A","N/A","5"
"Eye See You I","Defeat Flesh-hatcher Mhekarnahz. (X/5)","Combat","Flesh-hatcher Mhekarnahz","N/A","N/A","5"
"Eye See You II","Defeat Flesh-hatcher Mhekarnahz. (X/10)","Combat","Flesh-hatcher Mhekarnahz","N/A","N/A","10"
"Eye See You III","Defeat Flesh-hatcher Mhekarnahz. (X/25)","Combat","Flesh-hatcher Mhekarnahz","N/A","N/A","5"
"Eye See You IV","Defeat Flesh-hatcher Mhekarnahz. (X/50)","Combat","Flesh-hatcher Mhekarnahz","N/A","N/A","5"
"Eye See You V","Defeat Flesh-hatcher Mhekarnahz. (X/75)","Combat","Flesh-hatcher Mhekarnahz","N/A","N/A","5"
"Eye See You VI","Defeat Flesh-hatcher Mhekarnahz. (X/100)","Combat","Flesh-hatcher Mhekarnahz","N/A","N/A","5"
"Eyes in Their Stars","Solve this mystery.","Skills","Archaeology","Zamorakian","N/A","5"
"Faceless And Ready","Talk to the battlemaster of a clan citadel.","Activities","Clans","N/A","N/A","0"
"Fairy Liquid","Teleport to the fairy ring in the Poison Waste.","Area Tasks","Easy Tirannwn","N/A","N/A","5"
"Fairy Mountaineering","Use a fairy ring to appear on a mountaintop, near the windswept tree.","Area Tasks","Medium Fremennik","N/A","N/A","10"
"Falador","Activate the lodestone in Falador.","Exploration","Free to Play Lodestones","N/A","N/A","5"
"Falador Set Tasks - Easy","Given by Redbeard Frank in Port Sarim for completing all Easy Tasks in Falador.","Area Tasks","N/A","N/A","N/A","5"
"Falador Set Tasks - Elite","Given by Sir Vyvin's squire in Falador Castle for completing all Elite Tasks in Falador.","Area Tasks","N/A","N/A","N/A","25"
"Falador Set Tasks - Hard","Given by Sir Vyvin's squire in Falador Castle for completing all Hard Tasks in Falador.","Area Tasks","N/A","N/A","N/A","15"
"Falador Set Tasks - Medium","Given by the chemist in Rimmington for completing all Medium Tasks in Falador.","Area Tasks","N/A","N/A","N/A","10"
"Fall and Rise","Solve this mystery.","Skills","Archaeology","Saradominist","N/A","10"
"Fallen Angel","Obtained a collection of unique drops from Nex, Angel of Death.","Feats","Boss Logs","N/A","N/A","0"
"Fallen Angels","Solve this mystery.","Skills","Archaeology","Saradominist","N/A","10"
"Falling With Style","Use the gnome glider to travel to Karamja.","Area Tasks","Medium Karamja","N/A","N/A","10"
"Familiar Fire Familiarity","Use a familiar to make a maple fire within Seers' Village.","Area Tasks","Medium Seers' Village","N/A","N/A","10"
"Family Affair","Obtained a collection of unique drops from the Barrows Brothers: Rise of the Six.","Feats","Boss Logs","N/A","N/A","0"
"Family Crest","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Family Spirit Tree","Reconnect the Prifddinas spirit tree with her brethren.","Exploration","Prifddinas","N/A","N/A","10"
"Family Values","Discover your family crest from Sir Renitee.","Area Tasks","Easy Falador","N/A","N/A","5"
"Famous","Earn the title 'The Famous' by completing Morvran's Slayer challenge.","Skills","Slayer","N/A","N/A","50"
"Fancy Turtle-Back","Interact with the deep sea treasure turtle.","Skills","Fishing","N/A","N/A","5"
